,year,date,hour,temp,humidity
0,2012,"Thu, Mar 1",12:09 am,54,88%
1,2012,"Thu, Mar 1",1:01 am,54,88%
2,2012,"Thu, Mar 1",1:51 am,53,80%
3,2012,"Thu, Mar 1",2:51 am,52,80%
4,2012,"Thu, Mar 1",3:51 am,51,77%
5,2012,"Thu, Mar 1",4:51 am,50,77%
6,2012,"Thu, Mar 1",6:02 am,50,82%
7,2012,"Thu, Mar 1",6:57 am,52,77%
8,2012,"Thu, Mar 1",7:51 am,54,74%
9,2012,"Thu, Mar 1",8:51 am,55,72%
10,2012,"Thu, Mar 1",9:51 am,57,62%
11,2012,"Thu, Mar 1",10:51 am,59,56%
12,2012,"Thu, Mar 1",11:51 am,58,65%
13,2012,"Thu, Mar 1",12:51 pm,59,60%
14,2012,"Thu, Mar 1",1:51 pm,58,56%
15,2012,"Thu, Mar 1",2:51 pm,59,54%
16,2012,"Thu, Mar 1",3:51 pm,58,54%
17,2012,"Thu, Mar 1",4:51 pm,58,50%
18,2012,"Thu, Mar 1",5:51 pm,57,60%
19,2012,"Thu, Mar 1",6:51 pm,55,72%
20,2012,"Thu, Mar 1",7:51 pm,54,77%
21,2012,"Thu, Mar 1",8:51 pm,53,77%
22,2012,"Thu, Mar 1",9:51 pm,56,42%
23,2012,"Thu, Mar 1",10:51 pm,57,39%
24,2012,"Thu, Mar 1",11:51 pm,53,69%
25,2012,"Fri, Mar 2",12:09 am,54,88%
26,2012,"Fri, Mar 2",1:01 am,54,88%
27,2012,"Fri, Mar 2",1:51 am,53,80%
28,2012,"Fri, Mar 2",2:51 am,52,80%
29,2012,"Fri, Mar 2",3:51 am,51,77%
30,2012,"Fri, Mar 2",4:51 am,50,77%
31,2012,"Fri, Mar 2",6:02 am,50,82%
32,2012,"Fri, Mar 2",6:57 am,52,77%
33,2012,"Fri, Mar 2",7:51 am,54,74%
34,2012,"Fri, Mar 2",8:51 am,55,72%
35,2012,"Fri, Mar 2",9:51 am,57,62%
36,2012,"Fri, Mar 2",10:51 am,59,56%
37,2012,"Fri, Mar 2",11:51 am,58,65%
38,2012,"Fri, Mar 2",12:51 pm,59,60%
39,2012,"Fri, Mar 2",1:51 pm,58,56%
40,2012,"Fri, Mar 2",2:51 pm,59,54%
41,2012,"Fri, Mar 2",3:51 pm,58,54%
42,2012,"Fri, Mar 2",4:51 pm,58,50%
43,2012,"Fri, Mar 2",5:51 pm,57,60%
